Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,MP,Source
SKZKKFZAGNVIMN-UHFFFAOYSA-N,O=C(c1ccccc1O)N,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,-0.482804102,0.329,137.14,122.688,247.5,ONSC
GJCOSYZMQJWQCA-UHFFFAOYSA-N,O2c1ccccc1Cc3c2cccc3,UAEPNZWRGJTJPN-UHFFFAOYSA-N,CC1CCCCC1,-0.48148606,0.33,182.22,167.704,300,ONSC
GJCOSYZMQJWQCA-UHFFFAOYSA-N,O2c1ccccc1Cc3c2cccc3,XCIXKGXIYUWCLL-UHFFFAOYSA-N,OC1CCCC1,-0.48148606,0.33,182.22,167.424,300,ONSC
UQDUPQYQJKYHQI-UHFFFAOYSA-N,O=C(OC)CCCCCCCCCCC,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,-0.481186482,0.330227714,214.34,240.88,178,ONSC
ULSIYEODSMZIPX-UHFFFAOYSA-N,NCC(O)c1ccccc1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-0.48,0.331131121,137.18,137.176,193,ONSC
DAUAQNGYDSHRET-UHFFFAOYSA-N,COc1c(cc(cc1)C(=O)O)OC,RYHBNJHYFVUHQT-UHFFFAOYSA-N,O1CCOCC1,-0.48,0.331131122,182.17,162.6,106.5,ONSC
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@H](O)CC[C@H]3[C@@H]1CC2)C)(C)CC4,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.474,0.335737614,288.4,285.88,208,ONSC
HVYWMOMLDIMFJA-DPAQBDIFSA-N,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.472,0.337287309,386.7,412.8,108,ONSC
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)C,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,OCC(C)C,-0.470032637,0.338818693,180.16,156.712,287,ONSC
GVYLCNUFSHDAAW-UHFFFAOYSA-N,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-0.47,0.338844156,545.5,305.808,49,ONSC
