Solute InChIKey,Solute SMILES,Solvent InChIKey,Solvent SMILES,LogS,Concentration,MW,Volume,Source
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O\C1=C(/O)C(=O)O[C@@H]1[C@@H](O)CO,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(O)C,-2.081372185,0.008291399,176.12,142.024,ONSC
RECUKUPTGUEGMW-UHFFFAOYSA-N,Oc1c(ccc(c1)C(C)C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.08,0.008317638,150.22,158.216,ONSC
PXWUKZGIHQRDHL-UHFFFAOYSA-N,N(C(C)C)c1nc(nc(n1)OC)NCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.08,0.008317638,211.26,204.736,ONSC
VEFLKXRACNJHOV-UHFFFAOYSA-N,C(CCBr)Br,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.08,0.008317638,201.89,98.6,ONSC
QCQPGRMMDFIQMB-UHFFFAOYSA-N,ClC2C1CC(C(C1)C#N)C2=NOC(=O)NC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.08,0.008317638,241.67,205.144,ONSC
NQRRVGBUZRSXRF-UHFFFAOYSA-N,C1(C(=O)O)SSC(CC1)C(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-1.934,0.01164126,208.3,159.6,ONSC
SIQRLWJNWZCECZ-UHFFFAOYSA-N,c21c(nc(cc1)C[N+](=O)[O-])cccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.055,0.008810489,188.18,163.888,ONSC
VFWCMGCRMGJXDK-UHFFFAOYSA-N,ClCCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.03,0.009332543,92.57,94.136,ONSC
RRHGJUQNOFWUDK-UHFFFAOYSA-N,CC(=C)C=C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.03,0.009332543,68.12,83,ONSC
PEQHIRFAKIASBK-UHFFFAOYSA-N,c1c(cccc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(cc1)C,-2.03,0.009332543,320.4,307,ONSC
PRGQOPPDPVELEG-UHFFFAOYSA-N,c31c(cccc1)C(C(c2c(cccc2)N3C(=O)N)O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.027,0.009397233,270.28,233.152,ONSC
BNXSABDYGOUQQI-UHFFFAOYSA-N,N1(C(=C(C(=O)C=C1)O)C)c2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.027,0.009397233,201.22,182.344,ONSC
CKAPSXZOOQJIBF-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,-2.025028006,0.00944,284.8,201.544,ONSC
KSKWGMNRWCYVAT-UHFFFAOYSA-N,O=C(OCC)C1C(=O)CC(C(=O)C1)C(=O)OCC,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-2.024081157,0.009460604,256.25,229.88,ONSC
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,O=C(CO)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)\C=C/[C@]1(C)[C@H]4C(=O)C[C@@]23C,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-2.022276395,0.0095,358.4,324.848,ONSC
RYJPNIRLUSZYIB-UHFFFAOYSA-N,c1(ccccc1)C(C(=O)O)NCCCCCNC(c2ccccc2)C(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.022,0.009506048,370.4,350.72,ONSC
OMFXVFTZEKFJBZ-HJTSIMOOSA-N,O=C4\C=C2/[C@]([C@H]1[C@@H](O)C[C@@]3([C@@H](C(=O)CO)CC[C@H]3[C@@H]1CC2)C)(C)CC4,HVQYDIHGXSIMTE-UHFFFAOYSA-N,O(CCOCCOCCO)CCOCCOCCOCCOCCOCCO.O,-2.021,0.009527962,346.5,327.456,ONSC
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,Clc1ccc(NC(=O)N(C)C)cc1Cl,UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,-2.03,0.009332543,233.09,191.536,ONSC
GVEPBJHOBDJJJI-UHFFFAOYSA-N,c1ccc-2c(c1)-c3cccc4c3c2ccc4,RHQDFWAXVIIEBN-UHFFFAOYSA-N,FC(F)(F)CO,-2.019337222,0.009564511,202.25,185.936,ONSC
CASPLZGZWQCJGG-UHFFFAOYSA-N,c1(c(ccc(c1)C(=O)O)N(C)C)C(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.015,0.009660509,209.2,185.64,ONSC
TYHHDWAHJRRYCU-UHFFFAOYSA-N,c1(c(cccc1)[N+](=O)[O-])OCC(=O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.014,0.009682779,197.14,162.832,ONSC
JLRGJRBPOGGCBT-UHFFFAOYSA-N,O=S(=O)(c1ccc(cc1)C)NC(=O)NCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,-2.01280901,0.009709369,270.35,248.048,ONSC
TWBYWOBDOCUKOW-UHFFFAOYSA-N,c1cnccc1C(=O)O,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,-2.012375856,0.009719057,123.11,107.432,ONSC
IYYPLFUVXTVBLD-UHFFFAOYSA-N,O=C3N(C(=O)CCC3N2C(=O)c1ccccc1C2=O)C,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-2.01,0.009772372,272.26,232.752,ONSC
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,O=C2c1ccccc1C(=O)c3c2cccc3Cl,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,-2.009943509,0.009773643,242.65,196.024,ONSC
BLFLLBZGZJTVJG-UHFFFAOYSA-N,O=C(OCC)c1ccc(N)cc1,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,-2.008773924,0.0098,165.19,157.408,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,OCC(C)C,-2.008460282,0.00980708,212.27,178.192,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,-2.008330993,0.00981,178.23,168.36,ONSC
BJVVMKUXKQHWJK-UHFFFAOYSA-N,N1C(=O)NC(=O)C(C1=O)(C(CC)C)CC=C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.02,0.009549926,224.26,209.496,ONSC
MWPLVEDNUUSJAV-UHFFFAOYSA-N,c1ccc2cc3ccccc3cc2c1,YIWUKEYIRIRTPP-UHFFFAOYSA-N,OCC(CC)CCCC,-2.054325642,0.00882418,178.23,168.32,ONSC
BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4c3c2c(c1)cc4,LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,-2.033482824,0.009258,202.25,183.968,ONSC
KZTYYGOKRVBIMI-UHFFFAOYSA-N,O=S(=O)(c1ccccc1)c2ccccc2,WJTCGQSWYFHTAC-UHFFFAOYSA-N,C1CCCCCCC1,-2.051294189,0.00888599,218.27,188.92,ONSC
UJOBWOGCFQCDNV-UHFFFAOYSA-N,c1ccc2c(c1)c3ccccc3[nH]2,RNHWYOLIEJIAMV-UHFFFAOYSA-N,ClCCCCCCCCCCCCCC,-2.051131077,0.008889328,167.21,154.184,ONSC
GFFGJBXGBJISGV-UHFFFAOYSA-N,c1[nH]c2c(ncnc2n1)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.051,0.008892011,135.13,112.192,ONSC
WKOLLVMJNQIZCI-UHFFFAOYSA-N,O(C)c1c(ccc(c1)C(=O)O)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.05,0.008912509,168.15,145.408,ONSC
ISRUGXGCCGIOQO-UHFFFAOYSA-N,N(C)C(=O)Oc1c(cccc1)OC(C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.05,0.008912509,209.24,199.52,ONSC
BPRYUXCVCCNUFE-UHFFFAOYSA-N,Oc1c(cc(cc1C)C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.05,0.008912509,136.19,141.408,ONSC
NUJGJRNETVAIRJ-UHFFFAOYSA-N,O=CCCCCCCC,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.05,0.008912509,128.21,147.864,ONSC
JOFWLTCLBGQGBO-UHFFFAOYSA-N,Clc4ccccc4C/2=N/Cc1nnc(n1c3c\2cc(Cl)cc3)C,KBPLFHHGFOOTCA-UHFFFAOYSA-N,OCCCCCCCC,-2.049999999,0.008912509,343.2,274.752,ONSC
ZPSPULCZMWMHCY-SNVBAGLBSA-N,O=P1(O)OCC([C@H](O1)c2ccccc2Cl)(C)C,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.047170922,0.008970757,276.65,223.016,ONSC
VHCNQEUWZYOAEV-UHFFFAOYSA-N,C1(=NN=C(N(C1=O)N)C)c2ccccc2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.046,0.008994976,202.21,178.752,ONSC
JYGXADMDTFJGBT-VWUMJDOOSA-N,O=C4\C=C2/[C@]([C@H]1[C@@H](O)C[C@@]3([C@@](O)(C(=O)CO)CC[C@H]3[C@@H]1CC2)C)(C)CC4,WEVYAHXRMPXWCK-UHFFFAOYSA-N,N#CC,-2.031517051,0.0093,362.5,336.488,ONSC
LMVXPRMBXRSEED-UHFFFAOYSA-N,c1(cc(cs1)C(=O)c2ccc(cc2)CNCC(C)C)S(=O)(=O)N,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.046,0.008994976,352.5,306.608,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(O)C,-2.045942636,0.008996164,212.27,178.176,ONSC
HYZJCKYKOHLVJF-UHFFFAOYSA-N,c1ccc2c(c1)[nH]cn2,YXFVVABEGXRONW-UHFFFAOYSA-N,c1ccccc1C,-2.045757491,0.009,118.14,107.592,ONSC
YRHRIQCWCFGUEQ-UHFFFAOYSA-N,O=C1c3c(Sc2c1cccc2)cccc3,DURPTKYDGMDSBL-UHFFFAOYSA-N,O(CCCC)CCCC,-2.044189289,0.009032557,212.27,177.84,ONSC
QGJZLNKBHJESQX-FZFNOLFKSA-N,O=C(O)[C@@]54[C@@H]([C@@H]3[C@@]([C@]1([C@@H]([C@]2(C)[C@@H](CC1)C(C)(C)[C@@H](O)CC2)CC3)C)(C)CC4)[C@H](C(=C)\C)CC5,DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(=O)C,-2.040060554,0.009118837,456.7,456.264,ONSC
NSCXMOJHKQIMKA-UHFFFAOYSA-N,C(CS(=O)CCCl)S(=O)CCCl,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.04,0.009120108,251.2,196.08,ONSC
YSSSPARMOAYJTE-UHFFFAOYSA-N,O1c3c(OCCOCCOc2ccccc2OCCOCC1)cccc3,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(=O)C,-2.036212173,0.0092,360.4,330.768,ONSC
WJFKNYWRSNBZNX-UHFFFAOYSA-N,c1ccc2c(c1)Nc3ccccc3S2,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,-2.036026213,0.00920394,199.27,173.272,ONSC
MNTJUYOSLYWPDZ-UHFFFAOYSA-N,C1CCC(CC1)N(C(=O)C2CC2)O,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,-2.035,0.009225714,183.25,183.728,ONSC
